Date,AAPL,AMZN,BAC,GOOGL,JPM,META,MSFT,NFLX,NVDA,TSLA
2024-11-26,234.0016632080078,207.86000061035156,46.41093826293945,168.2673797607422,244.78810119628906,571.7421875,424.8559265136719,87.26000213623047,136.87313842773438,338.2300109863281
2024-11-27,233.8722381591797,205.74000549316406,46.43037414550781,168.37681579589844,244.61180114746094,567.4158325195312,419.89251708984375,87.73400115966797,135.2936553955078,332.8900146484375
2024-11-29,236.26144409179688,207.88999938964844,46.177669525146484,168.09823608398438,244.54327392578125,572.5198364257812,420.3591003417969,88.68099975585938,138.2026824951172,345.1600036621094
2024-12-02,238.51126098632812,210.7100067138672,45.720848083496094,170.6254425048828,241.1452178955078,590.9718017578125,427.8240661621094,89.77400207519531,138.58253479003906,357.0899963378906
2024-12-03,241.55747985839844,213.44000244140625,45.507015228271484,170.4761962890625,239.74485778808594,611.7265014648438,428.04241943359375,90.21700286865234,140.2119903564453,351.4200134277344
2024-12-04,241.91587829589844,218.16000366210938,45.069637298583984,173.49090576171875,238.35427856445312,611.8561401367188,434.2168884277344,91.10600280761719,145.09031677246094,357.92999267578125
2024-12-05,241.9457244873047,220.5500030517578,45.68197250366211,171.76963806152344,240.39117431640625,607.0213623046875,439.3787841796875,91.78700256347656,145.0203399658203,369.489990234375
2024-12-06,241.7466278076172,227.02999877929688,45.69174575805664,173.8292236328125,242.23220825195312,621.8148193359375,440.32183837890625,93.4739990234375,142.40106201171875,389.2200012207031
2024-12-09,245.6390380859375,226.08999633789062,44.87076187133789,174.68585205078125,238.7557830810547,611.646728515625,442.75384521484375,91.36900329589844,138.77203369140625,389.7900085449219
2024-12-10,246.65443420410156,225.0399932861328,44.71438217163086,184.44761657714844,237.8254852294922,617.3787841796875,440.0835876464844,91.33499908447266,135.03306579589844,400.989990234375
2024-12-11,245.3802032470703,230.25999450683594,45.03691101074219,194.63771057128906,238.48158264160156,630.69677734375,445.7021484375,93.65599822998047,139.2718963623047,424.7699890136719
2024-12-12,246.84359741210938,228.97000122070312,45.03691101074219,191.2111358642578,236.52305603027344,628.812744140625,446.2679748535156,92.55500030517578,137.3024444580078,418.1000061035156
2024-12-13,247.0128173828125,227.4600067138672,44.63618469238281,189.07949829101562,234.96600341796875,618.405517578125,443.9947204589844,91.88700103759766,134.21328735351562,436.2300109863281
2024-12-16,249.90972900390625,232.92999267578125,44.44071960449219,195.89280700683594,234.61346435546875,622.7852783203125,448.2830810546875,92.10800170898438,131.96389770507812,463.0199890136719
2024-12-17,252.33872985839844,231.14999389648438,44.03022384643555,194.6576385498047,233.4187774658203,617.9964599609375,451.1320495605469,91.91300201416016,130.35433959960938,479.8599853515625
2024-12-18,246.9331817626953,220.52000427246094,42.51531219482422,187.66502380371094,225.59439086914062,595.79833984375,434.1871337890625,88.95500183105469,128.874755859375,440.1300048828125
